name,Shahar,Yili,"Dvigatel hajmi, l",Kuzov,Yurgani,Uzatish qutisi,Rangi,Uzatma,Kami bor,price
Chevrolet Nexia 3,Farg'ona,2022,1.5 (Benzin),Sedan,94 km,Avtomat,Oq,Oldi,Ha,11450
Audi 100,Yakkabog' tumani,1984,2.2 (Gaz-benzin),Universal,50 000 km,Mexanika,Oq,To'liq,Ha,1800
Chevrolet Cobalt,Samarqand,2019,1.5 (Gaz-benzin),Sedan,100 km,Mexanika,Oq,Oldi,Ha,9999
Kia Bongo,Samarqand,2012,1.9 (Gaz-benzin),Furgon,490 km,Mexanika,Oq,Orqa,,13499
Chevrolet Nexia 3,Farg'ona,2022,1.5 (Benzin),Sedan,94 km,Avtomat,Oq,Oldi,Ha,11450
Audi 100,Yakkabog' tumani,1984,2.2 (Gaz-benzin),Universal,50 000 km,Mexanika,Oq,To'liq,Ha,1800
Chevrolet Lacetti,Samarqand,2011,1.8 (Gaz-benzin),Sedan,340 km,Mexanika,,Oldi,,8200
Mercedes-Benz S 320,Toshkent,2002,3.2 (Benzin),Sedan,157 000 km,Avtomat,Kulrang,Orqa,,20000
Chevrolet Lacetti,Samarqand,2011,1.8 (Gaz-benzin),Sedan,340 km,Mexanika,,Oldi,,8199
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,,Oldi,Ha,14200
VAZ (Lada) 2106,Qarshi,1975,1.5 (Gaz-benzin),Sedan,175 000 km,Mexanika,,Orqa,Ha,1385
Daewoo Gentra,Toshkent,2018,2 (Gaz-benzin),Sedan,59 773 km,Avtomat,Oq,Oldi,,17093
Chevrolet Nexia 3,Andijon,2022,1.5 (Benzin),Sedan,,Avtomat,Qora,Oldi,,11600
Daewoo Nexia,Namangan,1997,1.4 (Gaz-benzin),Sedan,936 000 km,Mexanika,Oq,Oldi,,3000
Chevrolet Nexia 3,Andijon,2021,1.5 (Gaz-benzin),Sedan,5 000 km,Avtomat,Oq,Oldi,,11400
Chevrolet Damas,Toshkent,2022,,Universal,,Mexanika,,Orqa,,8350
Chevrolet Cobalt,Samarqand,2019,1.5 (Gaz-benzin),Sedan,140 000 km,Mexanika,Oq,Oldi,Ha,10000
VAZ (Lada) Samara (hatchback 2109),Samarqand,1994,,Hatchback,300 000 km,Mexanika,,Oldi,Ha,1847
Daewoo Nexia,Farg'ona,2009,,Sedan,,Mexanika,,To'liq,Ha,4000
BMW 325,Toshkent,2006,2.5 (Benzin),Sedan,230 000 km,Avtomat,Mokriy asfalt,To'liq,,18000
VAZ (Lada) 2106,Samarqand,1984,,Sedan,7 777 km,Mexanika,,Oldi,,2500
Chevrolet Cobalt,Shahrisabz,2020,1.5 (Benzin),Sedan,30 000 km,Avtomat,,Oldi,Ha,11634
Chevrolet Lacetti,Samarqand,2011,1.8 (Gaz-benzin),Sedan,340 km,Mexanika,,Oldi,,8200
Mercedes-Benz S 320,Toshkent,2002,3.2 (Benzin),Sedan,157 000 km,Avtomat,Kulrang,Orqa,,20000
Chevrolet Lacetti,Samarqand,2011,1.8 (Gaz-benzin),Sedan,340 km,Mexanika,,Oldi,,8199
Chevrolet Cobalt,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,,Oldi,Ha,14200
VAZ (Lada) 2106,Qarshi,1975,1.5 (Gaz-benzin),Sedan,175 000 km,Mexanika,,Orqa,Ha,1385
Daewoo Gentra,Toshkent,2018,2 (Gaz-benzin),Sedan,59 773 km,Avtomat,Oq,Oldi,,17093
Chevrolet Nexia 3,Andijon,2022,1.5 (Benzin),Sedan,,Avtomat,Qora,Oldi,,11600
Daewoo Nexia,Namangan,1997,1.4 (Gaz-benzin),Sedan,936 000 km,Mexanika,Oq,Oldi,,3000
Chevrolet Nexia 3,Andijon,2021,1.5 (Gaz-benzin),Sedan,5 000 km,Avtomat,Oq,Oldi,,11400
Chevrolet Damas,Toshkent,2022,,Universal,,Mexanika,,Orqa,,8350
Chevrolet Cobalt,Samarqand,2019,1.5 (Gaz-benzin),Sedan,140 000 km,Mexanika,Oq,Oldi,Ha,10000
VAZ (Lada) Samara (hatchback 2109),Samarqand,1994,,Hatchback,300 000 km,Mexanika,,Oldi,Ha,1847
Daewoo Nexia,Farg'ona,2009,,Sedan,,Mexanika,,To'liq,Ha,4000
BMW 325,Toshkent,2006,2.5 (Benzin),Sedan,230 000 km,Avtomat,Mokriy asfalt,To'liq,,18000
VAZ (Lada) 2106,Samarqand,1984,,Sedan,7 777 km,Mexanika,,Oldi,,2500
Chevrolet Cobalt,Shahrisabz,2020,1.5 (Benzin),Sedan,30 000 km,Avtomat,,Oldi,Ha,11634
Changan Alsvin,Namangan,2014,,Furgon,210 000 km,Mexanika,,,,8000
Chevrolet Damas,Samarqand,2022,,Sedan,14 km,Mexanika,Oq,,,8400
Daewoo Nexia,Jizzax,2005,1.5 (Gaz-benzin),Sedan,214 000 km,Mexanika,Kulrang,Oldi,Ha,5600
Kia Carnival,Toshkent,2006,2.4 (Dizel),Miniven,9 300 km,Avtomat,Qaymoq rang,To'liq,Ha,9300
Chevrolet Damas,Samarqand,2022,,Sedan,14 km,Mexanika,Oq,,,8400
Daewoo Nexia,Jizzax,2005,1.5 (Gaz-benzin),Sedan,214 000 km,Mexanika,Kulrang,Oldi,Ha,5600
Kia Carnival,Toshkent,2006,2.4 (Dizel),Miniven,9 300 km,Avtomat,Qaymoq rang,To'liq,Ha,9300
Chevrolet Lacetti,Denov,2009,1.8 (Gaz-benzin),Krossover,,Mexanika,Qora,Oldi,,8772
UAZ 452,Navoiy,1985,2.9 (Benzin),Yo‘ltanlamas,111 111 km,Mexanika,,To'liq,Ha,1477
Daewoo Damas,Urganch tumani,1997,1 (Gaz-benzin),Universal,444 444 km,Mexanika,,Orqa,Ha,3232
Chevrolet Lacetti,Bog'ot tumani,2021,1.8 (Gaz-benzin),Sedan,16 km,Mexanika,Oq,Oldi,,13112
Chevrolet Lacetti,Bog'ot tumani,2021,1.8 (Gaz-benzin),Sedan,16 km,Mexanika,Oq,Oldi,Ha,13112
Chevrolet Lacetti,Toshkent,2020,1.6 (Benzin),Sedan,25 100 km,Avtomat,,Oldi,Ha,13300
Chevrolet Nexia 3,Navoiy,2021,1.5 (Benzin),Sedan,30 000 km,Mexanika,Oq,Oldi,,9695
Chevrolet Nexia 2,Ellikqal'a tumani,2015,1.5 (Benzin),Sedan,42 000 km,Mexanika,Delfin,Oldi,Ha,6925
Chevrolet Cobalt,Samarqand,2019,1.5 (Benzin),Sedan,140 km,Mexanika,Oq,Oldi,Ha,10000
VAZ (Lada) 2106,Toshkent,1977,,Hatchback,7 777 km,Mexanika,,Orqa,,2200
VAZ (Lada) 2106,Kitob tumani,1985,1.6 (Gaz-benzin),Sedan,555 555 km,Mexanika,Qaymoq rang,Orqa,Ha,1500
Chevrolet Damas,Samarqand,2022,,Sedan,15 km,Mexanika,Oq,,,8400
Chevrolet Matiz,Andijon,2014,0.8 (Benzin),Hatchback,,Mexanika,Qaymoq rang,Oldi,Ha,4000
Chevrolet Nexia 2,Toshkent,2014,1.5 (Gaz-benzin),Sedan,38 000 km,Mexanika,Qaymoq rang,Oldi,,7000
Chevrolet Nexia 2,Toshkent,2010,1.6 (Gaz-benzin),Sedan,174 000 km,Mexanika,Oq,Oldi,Ha,6200
Chevrolet Captiva,Toshkent,2013,3.2 (Gaz-benzin),Krossover,90 000 km,Avtomat,Oq,To'liq,Ha,16500
Daewoo Labo,Toshkent,2018,3.8 (Benzin),Sedan,69 200 km,Mexanika,Oq,Oldi,Ha,7600
Chevrolet Nexia 3,Navoiy,2021,1.5 (Benzin),Sedan,30 000 km,Mexanika,Oq,Oldi,,9695
Chevrolet Nexia 2,Ellikqal'a tumani,2015,1.5 (Benzin),Sedan,42 000 km,Mexanika,Delfin,Oldi,Ha,6925
Chevrolet Cobalt,Samarqand,2019,1.5 (Benzin),Sedan,140 km,Mexanika,Oq,Oldi,Ha,10000
VAZ (Lada) 2106,Toshkent,1977,,Hatchback,7 777 km,Mexanika,,Orqa,,2200
VAZ (Lada) 2106,Kitob tumani,1985,1.6 (Gaz-benzin),Sedan,555 555 km,Mexanika,Qaymoq rang,Orqa,Ha,1500
Chevrolet Damas,Samarqand,2022,,Sedan,15 km,Mexanika,Oq,,,8400
Chevrolet Matiz,Andijon,2014,0.8 (Benzin),Hatchback,,Mexanika,Qaymoq rang,Oldi,Ha,4000
Chevrolet Nexia 2,Toshkent,2014,1.5 (Gaz-benzin),Sedan,38 000 km,Mexanika,Qaymoq rang,Oldi,,7000
Chevrolet Nexia 2,Toshkent,2010,1.6 (Gaz-benzin),Sedan,174 000 km,Mexanika,Oq,Oldi,Ha,6200
Chevrolet Captiva,Toshkent,2013,3.2 (Gaz-benzin),Krossover,90 000 km,Avtomat,Oq,To'liq,Ha,16500
Daewoo Labo,Toshkent,2018,3.8 (Benzin),Sedan,69 200 km,Mexanika,Oq,Oldi,Ha,7600
Chevrolet Labo,Termiz,2018,,Furgon,68 000 km,Mexanika,Oq,Orqa,Ha,7849
Chevrolet Lacetti,Buxoro,2022,1.5 (Gaz-benzin),Sedan,8 000 km,Mexanika,Mokriy asfalt,Oldi,Ha,13000
Chevrolet Lacetti,Toshkent,2009,1.8 (Gaz-benzin),Sedan,210 000 km,Avtomat,Oq,Oldi,Ha,7900
Chevrolet Cobalt,Buxoro,2015,1.5 (Gaz-benzin),Sedan,97 000 km,Avtomat,Oq,Oldi,,9400
Daewoo Nexia,Bag'dod tumani,1999,,Sedan,430 812 km,Mexanika,,Oldi,Ha,3200
Chevrolet Nexia 2,Toshkent,2009,1.6 (Benzin),Sedan,90 600 km,Mexanika,Oq,Oldi,Ha,6500
Chevrolet Damas,Toshkent,2021,0.8 (Benzin),Miniven,5 000 km,Mexanika,,Orqa,,8500
Hyundai Starex,Buxoro,2001,,Miniven,,Mexanika,Oq,,,8300
Chevrolet Cobalt,Xazorasp tumani,2019,1.5 (Benzin),Sedan,4 300 km,Mexanika,Oq,Oldi,Ha,11080
Daewoo Nexia,Bag'dod tumani,1999,,Sedan,430 812 km,Mexanika,,Oldi,Ha,3200
Chevrolet Nexia 2,Toshkent,2009,1.6 (Benzin),Sedan,90 600 km,Mexanika,Oq,Oldi,Ha,6500
Chevrolet Damas,Toshkent,2021,0.8 (Benzin),Miniven,5 000 km,Mexanika,,Orqa,,8500
Hyundai Starex,Buxoro,2001,,Miniven,,Mexanika,Oq,,,8300
Chevrolet Cobalt,Xazorasp tumani,2019,1.5 (Benzin),Sedan,4 300 km,Mexanika,Oq,Oldi,Ha,11080
Chevrolet Malibu,Namangan,2013,2.4 (Gaz-benzin),Sedan,135 000 km,Mexanika,,Oldi,Ha,15500
Chevrolet Cobalt,Xazorasp tumani,2020,1.5 (Benzin),Sedan,1 897 km,Mexanika,Oq,Oldi,Ha,11800
VAZ (Lada) Kalina,Toshkent,2008,1.6 (Benzin),Hatchback,183 000 km,Mexanika,Binafsha rang,Oldi,Ha,3300
Chevrolet Matiz,Jalaquduq tumani,2016,0.8 (Benzin),Hatchback,40 000 km,Mexanika,Oq,Oldi,,5500
Opel Vectra,Toshkent,1994,1.8 (Benzin),Sedan,200 000 km,Mexanika,Oq,Oldi,,2500
VAZ (Lada) 2105,Toshkent,1988,1.5 (Benzin),Sedan,72 185 km,Mexanika,,Orqa,,3000
Daewoo Matiz (Standart),Buxoro,2004,3 (Benzin),Sedan,15 000 km,Mexanika,Sariq-yashil rang,Orqa,Ha,3200
Daewoo Lacetti,Namangan,2006,,Sedan,420 000 km,Mexanika,,Oldi,,6000
Chevrolet Lacetti,Toshkent,2012,1.8 (Gaz-benzin),Sedan,250 000 km,Mexanika,Oq,Oldi,,8000
VAZ (Lada) 2106,Samarqand,1996,,Sedan,999 999 km,Mexanika,,To'liq,,2500
VAZ (Lada) 2101,Farg'ona,1976,1.3 (Gaz-benzin),Universal,400 000 km,Mexanika,Mokriy asfalt,Orqa,Ha,1662
Chevrolet Lacetti,Toshkent,2014,1.5 (Benzin),Sedan,161 000 km,Mexanika,Oq,Oldi,Ha,9300
Chevrolet Lacetti,Andijon,2011,1.6 (Gaz-benzin),Sedan,350 000 km,Avtomat,Oq,Oldi,Ha,8500
Chevrolet Captiva,Andijon,2012,2.4 (Benzin),Krossover,125 000 km,Mexanika,Qaymoq rang,To'liq,,13500
Chevrolet Epica,Termiz,2009,2 (Gaz-benzin),Sedan,282 623 km,Mexanika,Oq,Oldi,,7756
Opel Vectra,Toshkent,1994,1.8 (Benzin),Sedan,200 000 km,Mexanika,Oq,Oldi,,2500
VAZ (Lada) 2105,Toshkent,1988,1.5 (Benzin),Sedan,72 185 km,Mexanika,,Orqa,,3000
Daewoo Matiz (Standart),Buxoro,2004,3 (Benzin),Sedan,15 000 km,Mexanika,Sariq-yashil rang,Orqa,Ha,3200
Daewoo Lacetti,Namangan,2006,,Sedan,420 000 km,Mexanika,,Oldi,,6000
Chevrolet Lacetti,Toshkent,2012,1.8 (Gaz-benzin),Sedan,250 000 km,Mexanika,Oq,Oldi,,8000
VAZ (Lada) 2106,Samarqand,1996,,Sedan,999 999 km,Mexanika,,To'liq,,2500
VAZ (Lada) 2101,Farg'ona,1976,1.3 (Gaz-benzin),Universal,400 000 km,Mexanika,Mokriy asfalt,Orqa,Ha,1662
Chevrolet Lacetti,Toshkent,2014,1.5 (Benzin),Sedan,161 000 km,Mexanika,Oq,Oldi,Ha,9300
Chevrolet Lacetti,Andijon,2011,1.6 (Gaz-benzin),Sedan,350 000 km,Avtomat,Oq,Oldi,Ha,8500
Chevrolet Captiva,Andijon,2012,2.4 (Benzin),Krossover,125 000 km,Mexanika,Qaymoq rang,To'liq,,13500
Chevrolet Epica,Termiz,2009,2 (Gaz-benzin),Sedan,282 623 km,Mexanika,Oq,Oldi,,7756
Chevrolet Lacetti,Buxoro,2009,1.8 (Gaz-benzin),Sedan,125 000 km,Avtomat,Oq,Oldi,Ha,7400
Chevrolet Spark,Samarqand,2013,1.3 (Benzin),Hatchback,195 000 km,Mexanika,Yashil,Oldi,,5500
Chevrolet Lacetti,Toshkent,2020,1.5 (Benzin),Sedan,40 000 km,Mexanika,Qora,Oldi,Ha,11800
Chevrolet Lacetti,Toshkent,2020,1.6 (Gaz-benzin),Sedan,60 000 km,Avtomat,Qora,Oldi,Ha,13200
Chevrolet Epica,Termiz,2008,2 (Gaz-benzin),Sedan,310 000 km,Mexanika,Oq,Oldi,,7572
Chevrolet Tracker,Toshkent,2022,,,5 000 km,Avtomat,Oq,,Ha,23500
Chevrolet Tracker,Toshkent,2019,,,101 000 km,Avtomat,Qora,,Ha,15500
Chevrolet Captiva,Nukus,2009,3.2 (Gaz-benzin),Krossover,138 000 km,Avtomat,Qora,To'liq,,14000
Chevrolet Spark,Toshkent,2014,1.3 (Gaz-benzin),Hatchback,170 000 km,Mexanika,Oq,Oldi,Ha,6500
Chevrolet Spark,Samarqand,2013,1.3 (Benzin),Hatchback,195 000 km,Mexanika,Yashil,Oldi,,5500
Chevrolet Lacetti,Toshkent,2020,1.5 (Benzin),Sedan,40 000 km,Mexanika,Qora,Oldi,Ha,11800
Chevrolet Lacetti,Toshkent,2020,1.6 (Gaz-benzin),Sedan,60 000 km,Avtomat,Qora,Oldi,Ha,13200
Chevrolet Epica,Termiz,2008,2 (Gaz-benzin),Sedan,310 000 km,Mexanika,Oq,Oldi,,7572
Chevrolet Tracker,Toshkent,2022,,,5 000 km,Avtomat,Oq,,Ha,23500
Chevrolet Tracker,Toshkent,2019,,,101 000 km,Avtomat,Qora,,Ha,15500
Chevrolet Captiva,Nukus,2009,3.2 (Gaz-benzin),Krossover,138 000 km,Avtomat,Qora,To'liq,,14000
Chevrolet Spark,Toshkent,2014,1.3 (Gaz-benzin),Hatchback,170 000 km,Mexanika,Oq,Oldi,Ha,6500
Chevrolet Spark,Toshkent,2014,1.3 (Gaz-benzin),Hatchback,140 000 km,Mexanika,Oq,Oldi,Ha,6500
Chevrolet Matiz,Toshkent,2008,0.8 (Benzin),Hatchback,100 000 km,Mexanika,Kumush rang,Oldi,Ha,3800
Daewoo Nexia,Toshkent,1997,,Sedan,,Mexanika,Oq,,Ha,3100
VAZ (Lada) 2103,Toshkent,1980,,Sedan,,Mexanika,To'q sariq,Orqa,Ha,700
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Krossover,41 900 km,Avtomat,Oq,Oldi,Ha,17200
Chevrolet Epica,Guliston,2011,2.4 (Benzin),Sedan,136 000 km,Avtomat,Qora,Oldi,Ha,9600
Chevrolet Epica,Guliston,2011,2.4 (Gaz-benzin),Sedan,136 000 km,Avtomat,Qora,Oldi,Ha,9600
Chevrolet Labo,Namangan,2010,,Furgon,,Mexanika,,Orqa,Ha,6500
Nissan Tiida,Toshkent,2008,1.6 (Benzin),Hatchback,225 000 km,Avtomat,,Oldi,Ha,8200
Chevrolet Malibu,Andijon,2012,2.4 (Gaz-benzin),Sedan,208 000 km,Mexanika,Ko'k-xavorang,Oldi,Ha,14200
GAZ 3110 (Volga),Namangan,2000,,Sedan,250 000 km,Mexanika,Oq,Orqa,,3232
Chevrolet Damas,Xazorasp tumani,2022,,Hatchback,30 km,Mexanika,Oq,Oldi,Ha,8772
Chevrolet Matiz,Toshkent,2008,0.8 (Benzin),Hatchback,100 000 km,Mexanika,Kumush rang,Oldi,Ha,3800
Daewoo Nexia,Toshkent,1997,,Sedan,,Mexanika,Oq,,Ha,3100
VAZ (Lada) 2103,Toshkent,1980,,Sedan,,Mexanika,To'q sariq,Orqa,Ha,700
Chevrolet Tracker,Toshkent,2019,1.8 (Benzin),Krossover,41 900 km,Avtomat,Oq,Oldi,Ha,17200
Chevrolet Epica,Guliston,2011,2.4 (Benzin),Sedan,136 000 km,Avtomat,Qora,Oldi,Ha,9600
Chevrolet Epica,Guliston,2011,2.4 (Gaz-benzin),Sedan,136 000 km,Avtomat,Qora,Oldi,Ha,9600
Chevrolet Labo,Namangan,2010,,Furgon,,Mexanika,,Orqa,Ha,6500
Nissan Tiida,Toshkent,2008,1.6 (Benzin),Hatchback,225 000 km,Avtomat,,Oldi,Ha,8200
Chevrolet Malibu,Andijon,2012,2.4 (Gaz-benzin),Sedan,208 000 km,Mexanika,Ko'k-xavorang,Oldi,Ha,14200
GAZ 3110 (Volga),Namangan,2000,,Sedan,250 000 km,Mexanika,Oq,Orqa,,3232
Chevrolet Damas,Xazorasp tumani,2022,,Hatchback,30 km,Mexanika,Oq,Oldi,Ha,8772
VAZ (Lada) 2106,Qarshi,1977,,Hatchback,60 000 km,Mexanika,,Orqa,,1477
VAZ (Lada) 2106,Toshkent,1986,,Sedan,,Mexanika,,Orqa,Ha,2500
Daewoo Matiz (Standart),Kogon,2010,,Sedan,200 000 km,Mexanika,Oq,,Ha,3700
VAZ (Lada) 2106,Bekobod,1990,1.5 (Benzin),Sedan,,Mexanika,Qizil,Orqa,Ha,1570
UAZ 3962,Toshkent,1996,,Furgon,76 500 km,Mexanika,Yashil,To'liq,,5200
Chevrolet Spark,Toshkent,2021,1.3 (Benzin),Hatchback,4 000 km,Avtomat,Oq,Oldi,Ha,9800
Daewoo Labo,Farg'ona,1999,,Furgon,,Mexanika,,Oldi,Ha,5500
Chevrolet Spark,Toshkent,2020,1.3 (Gaz-benzin),Hatchback,41 000 km,Avtomat,Mokriy asfalt,Oldi,,9500
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11300
VAZ (Lada) 2106,Bekobod,1990,1.5 (Benzin),Sedan,,Mexanika,Qizil,Orqa,Ha,1570
UAZ 3962,Toshkent,1996,,Furgon,76 500 km,Mexanika,Yashil,To'liq,,5200
Chevrolet Spark,Toshkent,2021,1.3 (Benzin),Hatchback,4 000 km,Avtomat,Oq,Oldi,Ha,9800
Daewoo Labo,Farg'ona,1999,,Furgon,,Mexanika,,Oldi,Ha,5500
Chevrolet Spark,Toshkent,2020,1.3 (Gaz-benzin),Hatchback,41 000 km,Avtomat,Mokriy asfalt,Oldi,,9500
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11300
Chevrolet Tracker,Farg'ona,2020,,,37 500 km,Avtomat,Oq,,Ha,18200
VAZ (Lada) 2106,Qarshi,1984,,Sedan,6 671 km,Mexanika,Oq,Orqa,Ha,1662
VAZ (Lada) 2106,Qarshi,1977,,Hatchback,60 000 km,Mexanika,,Orqa,Ha,1477
VAZ (Lada) 2107,Qarshi,1985,,Sedan,,Mexanika,Qaymoq rang,Orqa,Ha,1662
Chevrolet Cobalt,Toshkent,2014,1.5 (Benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,,8500
Chevrolet Cobalt,Keles,2014,1.5 (Gaz-benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,Ha,8500
Chevrolet Cobalt,Toshkent,2014,1.5 (Gaz-benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,Ha,8500
Chevrolet Matiz,Toshkent,2006,0.8 (Gaz-benzin),Hatchback,477 000 km,Mexanika,Oq,Oldi,Ha,4000
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,2 388 km,Avtomat,Oq,Oldi,,13000
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,,Avtomat,Oq,Oldi,Ha,13000
Chevrolet Labo,Samarqand,2022,,Sedan,,Mexanika,,Orqa,,8500
Chevrolet Nexia 2,Toshkent,2009,1.5 (Benzin),Sedan,200 000 km,Mexanika,Oq,Oldi,Ha,4999
Chevrolet Lacetti,Jizzax,2022,1.6 (Benzin),Sedan,1 950 km,Avtomat,Qora,Oldi,,15200
Chevrolet Nexia 3,Shovot tumani,2021,1.5 (Gaz-benzin),Sedan,29 000 km,Mexanika,Oq,Oldi,Ha,10342
UAZ 3962,Toshkent,1996,,Furgon,76 500 km,Mexanika,Yashil,To'liq,,5200
Chevrolet Spark,Toshkent,2021,1.3 (Benzin),Hatchback,4 000 km,Avtomat,Oq,Oldi,Ha,9800
Daewoo Labo,Farg'ona,1999,,Furgon,,Mexanika,,Oldi,Ha,5500
Chevrolet Spark,Toshkent,2020,1.3 (Gaz-benzin),Hatchback,41 000 km,Avtomat,Mokriy asfalt,Oldi,,9500
Chevrolet Nexia 3,Toshkent,2022,1.5 (Benzin),Sedan,,Avtomat,Oq,Oldi,,11300
Chevrolet Tracker,Farg'ona,2020,,,37 500 km,Avtomat,Oq,,Ha,18200
VAZ (Lada) 2106,Qarshi,1984,,Sedan,6 671 km,Mexanika,Oq,Orqa,Ha,1662
VAZ (Lada) 2106,Qarshi,1977,,Hatchback,60 000 km,Mexanika,,Orqa,Ha,1477
VAZ (Lada) 2107,Qarshi,1985,,Sedan,,Mexanika,Qaymoq rang,Orqa,Ha,1662
Chevrolet Cobalt,Toshkent,2014,1.5 (Benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,,8500
Chevrolet Cobalt,Keles,2014,1.5 (Gaz-benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,Ha,8500
Chevrolet Cobalt,Toshkent,2014,1.5 (Gaz-benzin),Sedan,363 000 km,Mexanika,Oltin rang,Oldi,Ha,8500
Chevrolet Matiz,Toshkent,2006,0.8 (Gaz-benzin),Hatchback,477 000 km,Mexanika,Oq,Oldi,Ha,4000
Chevrolet Lacetti,Toshkent,2022,1.6 (Benzin),Sedan,2 388 km,Avtomat,Oq,Oldi,,13000
Chevrolet Lacetti,Toshkent,2021,1.6 (Benzin),Sedan,,Avtomat,Oq,Oldi,Ha,13000
Chevrolet Labo,Samarqand,2022,,Sedan,,Mexanika,,Orqa,,8500
Chevrolet Nexia 2,Toshkent,2009,1.5 (Benzin),Sedan,200 000 km,Mexanika,Oq,Oldi,Ha,4999
Chevrolet Lacetti,Jizzax,2022,1.6 (Benzin),Sedan,1 950 km,Avtomat,Qora,Oldi,,15200
Chevrolet Nexia 3,Shovot tumani,2021,1.5 (Gaz-benzin),Sedan,29 000 km,Mexanika,Oq,Oldi,Ha,10342
Chevrolet Nexia 3,Samarqand,2019,1.5 (Gaz-benzin),Sedan,120 000 km,Mexanika,,Oldi,,8400
Chevrolet Nexia 3,Shovot tumani,2021,1.5 (Gaz-benzin),Sedan,29 000 km,Mexanika,Oq,Oldi,Ha,10342
Chevrolet Nexia 3,Samarqand,2019,1.5 (Gaz-benzin),Sedan,120 000 km,Mexanika,,Oldi,,8400
Chevrolet Spark,Toshkent,2019,1.25 (Gaz-benzin),Hatchback,41 000 km,Mexanika,Delfin,Oldi,,8000
Chevrolet Cobalt,Toshkent,2019,1.5 (Benzin),Sedan,21 000 km,Avtomat,Mokriy asfalt,Oldi,Ha,10800
Chevrolet Lacetti,Qarshi,2022,1.6 (Benzin),Sedan,,Mexanika,Oq,Oldi,,13389
Changan SC6415,Namangan,2016,1.5 (Gaz-benzin),Furgon,210 000 km,Mexanika,,Orqa,,8000
Daewoo Nexia,Qarshi,1997,,Sedan,177 777 km,Mexanika,Qora,To'liq,,3232
Chevrolet Spark,Andijon,2013,1.3 (Gaz-benzin),Hatchback,230 000 km,Mexanika,Kumush rang,Oldi,,6100
VAZ (Lada) 2101,Namangan,1982,3 (Benzin),Universal,27 895 km,Mexanika,Oq,Orqa,Ha,1600
VAZ (Lada) 2101,Namangan,1982,3 (Benzin),Universal,27 895 km,Mexanika,Oq,Orqa,Ha,1600
Chevrolet Spark,Toshkent,2019,1.3 (Gaz-benzin),Hatchback,200 km,Avtomat,Oq,Oldi,,7000
VAZ (Lada) 2101,Shahrisabz,1982,,Sedan,,Mexanika,Ko'k-xavorang,,Ha,1062
Chevrolet Spark,Toshkent,2019,1.3 (Gaz-benzin),Hatchback,200 km,Avtomat,Oq,Oldi,,7000
Daewoo Damas,Farg'ona,2013,3.8 (Gaz-benzin),Furgon,254 109 km,Mexanika,Oq,To'liq,Ha,5500
VAZ (Lada) Niva 2123,Toshkent,2008,1.6 (Benzin),Yo‘ltanlamas,200 000 km,Mexanika,Kumush rang,To'liq,Ha,6000
Chevrolet Epica,Qo'qon,2010,2 (Gaz-benzin),Sedan,160 km,Avtomat,Qaymoq rang,Oldi,Ha,11000
Chevrolet Cobalt,Toshkent,2020,1.5 (Gaz-benzin),Sedan,70 275 km,Mexanika,Oq,Oldi,Ha,10700
Chevrolet Nexia 3,Denov,2018,1.5 (Benzin),Sedan,48 000 km,Mexanika,,Oldi,,9695
Daewoo Tico,Jizzax,2002,,Yo‘ltanlamas,111 111 km,Mexanika,Oltin rang,Oldi,Ha,2000
Daewoo Nexia,Jizzax,2001,,Universal,111 111 km,Mexanika,Oq,Oldi,Ha,3100
Daewoo Tico,Jizzax,2002,,Yo‘ltanlamas,111 111 km,Mexanika,Oltin rang,Oldi,Ha,2000
Daewoo Nexia,Jizzax,2001,,Universal,111 111 km,Mexanika,Oq,Oldi,Ha,3100
Chevrolet Nexia 3,Jizzax,2017,1.5 (Gaz-benzin),Sedan,97 000 km,Mexanika,Oq,Oldi,Ha,7700
Chevrolet Captiva,Farg'ona,2013,3 (Gaz-benzin),Krossover,170 000 km,Avtomat,Qora,To'liq,Ha,15000
VAZ (Lada) 2101,Toshkent,1974,,Hatchback,1 900 km,Mexanika,,Orqa,,1000
Daewoo Nexia,Navoiy,1997,,Sedan,436 317 km,Mexanika,Oq,To'liq,Ha,3509
Chevrolet Spark,Toshkent,2013,1.3 (Gaz-benzin),Hatchback,140 000 km,Mexanika,Kumush rang,Oldi,Ha,6000
Chevrolet Nexia 3,Toshkent,2017,1.5 (Benzin),Sedan,97 000 km,Avtomat,Oq,Oldi,Ha,8700
